schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
dynamic,4,10000,5,17.4063,6.82436
dynamic,4,100000,5,7.10127,8.12818
dynamic,4,1000000,5,7.61517,7.74859
static,4,1000,5,9.46345,7.9326
static,4,10000,5,7.56622,7.05634
static,4,100000,5,8.3744,8.32504
static,4,1000000,5,11.0834,8.52269
guided,4,1000,5,8.94455,6.32263
guided,4,10000,5,9.82491,3.73204
guided,4,100000,5,4.55835,3.78227
guided,4,1000000,5,4.43717,3.75347
dynamic,8,1000,5,7.81676,3.47674
dynamic,8,10000,5,5.15093,4.16894
dynamic,8,100000,5,3.76382,4.02473
dynamic,8,1000000,5,7.76592,10.3552
static,8,1000,5,6.9422,6.77611
static,8,10000,5,5.7855,17.4571
static,8,100000,5,6.0292,6.14938
static,8,1000000,5,6.71554,6.64806
guided,8,1000,5,4.50763,3.60525
guided,8,10000,5,3.70512,3.42866
guided,8,100000,5,4.19946,3.33309
guided,8,1000000,5,4.29018,3.9856
dynamic,16,1000,5,3.45381,3.67286
dynamic,16,10000,5,3.67953,3.52608
dynamic,16,100000,5,3.7318,10.3789
dynamic,16,1000000,5,8.44144,10.7476
static,16,1000,5,21.3406,8.19709
static,16,10000,5,6.20559,6.31501
static,16,100000,5,4.19194,4.45694
static,16,1000000,5,4.93839,5.03404
guided,16,1000,5,5.03353,5.3649
guided,16,10000,5,6.4585,8.31805
guided,16,100000,5,4.51197,6.95638
guided,16,1000000,5,11.0933,5.45068
dynamic,32,1000,5,8.69278,6.11838
dynamic,32,10000,5,3.63074,3.59798
dynamic,32,100000,5,3.97675,3.75188
dynamic,32,1000000,5,4.00418,3.60624
static,32,1000,5,3.84759,4.67709
static,32,10000,5,6.13679,9.21671
static,32,100000,5,14.7776,7.67877
static,32,1000000,5,8.37417,8.8937
guided,32,1000,5,9.27395,10.1463
guided,32,10000,5,7.86208,13.0798
guided,32,100000,5,12.8266,5.15826
guided,32,1000000,5,13.5615,16.4892
